model,rmse,mae,r2,training_time,inference_time
Vertex AI AutoML,--,--,0.975265,1403.0,--
H2O Stacked Ensemble,0.18577743597765378,0.11529274931055723,0.9690576502435336,1156.0766899585724,0.31170105934143066
H2O GBM,0.222235166085694,0.1349063725614178,0.95572149739803,534.0979459285736,0.5932331085205078
H2O DRF,0.23295123157110467,0.14262638989171925,0.9513483713428749,784.6655328273773,0.21756410598754883
H2O XGBoost,0.23629193965767872,0.14406022847939337,0.9499429587160705,1055.5140919685364,0.153825044631958
